sep=,
"Aussentemperatur","TAZ"
5.89,5.42
8.04,5.75
9.69,5.96
6.01,5.84
4.84,5.43
7.55,5.55
10.5,5.70
7.20,5.70
7.32,5.26
10.6,5.67
10.3,5.69
11.5,6.29
12.5,6.59
11.3,6.55
12.8,7.14
13.5,7.25
13.1,7.00
11.8,6.15
14.9,6.74
11.1,6.78
10.3,5.62
13.9,6.31
10.9,6.47
10.8,5.48
11.8,6.13
11.1,6.31
11.8,6.22
14.3,7.14
14.5,6.82
11.8,6.49
12.1,6.42
8.89,6.34
7.35,5.39
10.6,5.61
7.67,5.48
7.15,5.30
8.23,5.51
6.69,5.74
6.61,6.23
7.08,6.31
7.79,6.25
7.28,6.16
8.20,5.56
9.83,5.69
8.26,5.69
8.45,5.81
9.08,6.08
9.20,6.13
8.96,6.50
9.59,6.37
8.46,6.36
7.91,6.31
8.32,5.83
8.87,6.06
8.47,6.21
9.03,5.66
10.2,5.61
6.97,5.61
6.19,4.95
9.46,5.61
8.69,5.66
8.83,6.06
9.36,6.33
9.00,6.40
8.33,5.53
8.16,5.72
5.40,5.64
5.56,4.83
7.20,5.22
6.72,5.24
7.08,5.68
7.50,5.76
6.65,5.76
6.03,5.32
6.14,5.38
5.43,5.41
4.61,5.15
4.84,5.16
4.25,5.18
3.66,5.42
4.43,5.50
7.06,5.77
6.28,5.80
5.66,5.88
7.73,6.18
8.97,6.38
9.97,6.60
11.3,7.42
11.7,7.40
11.9,7.47
11.4,7.42
10.7,7.25
10.8,7.31
10.2,7.15
8.94,6.99
8.55,6.52
8.51,6.62
7.66,6.31
4.67,6.11
2.79,5.15
5.06,5.20
2.79,5.05
5.76,5.77
7.38,6.00
7.96,6.15
6.75,6.15
6.56,6.08
6.82,6.18
7.07,6.14
5.91,6.08
5.03,5.24
5.39,5.40
3.74,5.37
3.14,5.08
3.56,5.15
3.98,5.07
2.80,5.04
2.31,4.95
2.23,4.91
2.22,4.87
2.83,4.90
1.28,4.56
2.33,4.76
2.39,4.74
0.413,4.65
-0.44,4.35
0.932,4.55
2.75,4.66
0.974,4.62
1.98,4.61
5.25,5.01
5.64,5.03
3.55,4.87
4.02,4.97
7.01,5.43
7.26,5.51
3.62,5.44
1.78,4.55
1.29,4.31
0.864,4.34
-0.86,4.31
0.0559,4.52
0.699,4.55
1.79,4.57
2.52,4.62
3.25,5.05
3.39,5.06
3.50,4.97
2.06,4.90
0.617,4.52
0.677,4.55
0.702,4.52
0.452,4.52
-0.11,4.38
0.242,4.42
0.385,4.36
0.0751,4.34
-0.44,4.29
-0.25,4.25
0.566,4.26
0.561,4.25
0.833,4.41
0.849,4.43
1.57,4.47
0.868,4.37
0.413,4.31
0.191,4.22
0.789,4.21
0.900,4.21
0.725,4.45
0.903,4.28
1.67,4.28
0.999,4.28
0.857,4.39
1.13,4.35
3.38,4.39
2.35,4.40
1.87,4.45
3.17,4.69
5.15,4.82
7.04,5.05
7.80,6.05
9.14,6.21
9.09,6.24
8.13,6.11
7.60,5.86
7.49,6.08
7.77,6.09
7.84,6.14
8.26,6.24
9.25,6.49
9.53,6.43
8.66,6.35
8.02,6.00
8.42,6.11
7.81,6.05
6.23,5.99
6.39,5.62
5.74,5.61
6.54,5.69
6.04,5.69
6.27,5.80
6.49,5.51
7.54,5.59
7.05,5.65
6.58,5.84
7.18,5.84
7.05,5.80
2.80,5.61
-0.074,4.33
0.298,4.31
1.71,4.28
-1.7,4.12
-3.5,3.60
-2.9,3.63
-0.39,3.67
-3.2,3.64
-4.4,3.45
-4.2,3.46
-2.7,3.46
-3.0,3.44
-2.8,3.85
-1.9,3.77
-0.55,3.86
0.807,3.95
3.50,4.73
1.72,4.38
0.0968,4.29
-4.0,4.15
-6.7,3.14
-5.9,3.19
-3.3,3.28
-7.0,3.25
-9.3,2.86
-8.1,2.90
-4.6,3.05
-5.9,3.10
-5.9,3.39
-4.2,3.45
-2.0,3.52
-0.57,3.59
0.0963,4.09
0.357,4.08
1.25,4.19
1.47,4.22
1.28,4.56
1.79,4.65
2.87,4.70
4.18,4.81
6.67,6.05
7.77,6.25
10.8,6.50
11.1,6.57
12.1,6.49
11.5,6.81
11.1,6.87
11.0,5.89
11.2,6.50
10.8,6.68
9.99,6.59
10.5,6.65
11.0,6.61
9.51,6.54
8.16,5.70
7.74,5.75
7.22,5.79
7.06,5.59
5.05,5.36
2.73,5.26
1.63,4.54
2.49,4.69
3.67,4.71
2.73,4.74
0.0263,4.35
0.359,4.14
2.65,4.19
1.01,4.17
0.864,4.07
0.915,4.01
2.39,4.12
1.80,4.13
1.37,4.32
2.02,4.35
2.78,4.34
1.80,4.37
1.89,4.48
1.38,4.29
3.44,4.48
4.27,4.67
3.12,5.23
2.44,5.22
3.03,4.94
2.94,4.84
2.54,4.67
2.76,4.64
2.58,4.60
1.94,4.55
2.69,4.56
3.45,4.68
