sep=,
"Aussentemperatur","TAZ"
5.89,5.42
7.41,5.84
7.52,5.70
8.31,5.69
11.3,6.55
12.9,7.00
12.1,6.78
10.8,6.47
10.9,6.31
13.0,6.82
11.4,6.34
8.14,5.48
6.73,5.74
7.19,6.16
8.27,5.69
8.76,6.13
8.73,6.31
8.47,6.21
8.46,5.61
7.28,5.66
8.83,6.40
7.57,5.64
6.10,5.24
6.96,5.76
5.91,5.41
4.64,5.18
5.35,5.80
8.07,6.60
11.6,7.42
10.2,6.99
7.35,6.11
3.14,5.05
6.96,6.15
6.59,6.08
4.84,5.37
3.37,5.04
2.40,4.90
1.61,4.65
1.06,4.62
4.11,4.87
5.48,5.44
0.771,4.31
1.27,4.62
3.05,4.90
0.613,4.52
0.146,4.34
0.110,4.25
1.03,4.37
0.572,4.21
1.07,4.28
1.93,4.40
4.30,5.05
8.54,6.11
7.67,6.14
8.93,6.35
7.62,5.99
6.18,5.69
6.84,5.65
5.90,5.61
0.0534,4.12
-2.5,3.64
-3.6,3.44
-1.1,3.95
0.321,4.15
-5.7,3.25
-7.0,3.10
-3.1,3.59
0.793,4.22
2.53,4.81
9.07,6.57
11.6,6.87
11.0,6.68
10.2,6.54
7.82,5.79
5.46,5.26
2.63,4.74
1.01,4.17
1.49,4.13
1.99,4.37
2.74,4.67
2.88,4.84
2.46,4.55
3.84,4.82
5.58,5.56
5.45,5.53
2.83,4.50
3.70,4.80
5.12,5.28
5.49,5.29
3.78,5.11
1.02,4.44
2.12,4.43
5.46,5.58
5.94,5.71
4.35,5.15
4.10,5.08
3.18,4.96
5.22,5.37
4.60,5.01
6.95,5.71
5.09,5.14
2.29,4.49
4.26,4.97
4.64,4.97
5.10,5.36
5.67,5.45
3.86,4.66
4.75,5.31
3.85,4.76
6.79,5.87
7.83,6.31
5.37,5.43
2.37,4.49
1.40,4.19
3.26,4.47
8.04,5.95
6.47,5.59
8.20,6.39
6.28,5.59
5.46,5.54
3.94,4.81
5.38,5.51
4.26,5.25
5.49,5.44
6.86,5.65
6.29,5.47
3.83,4.96
4.17,5.06
2.58,4.47
1.79,4.37
2.40,4.55
3.13,4.41
0.660,4.06
1.10,4.28
1.55,4.41
1.41,4.53
1.67,4.36
2.79,4.61
4.15,4.78
5.55,5.18
3.83,4.64
4.95,4.95
5.71,4.70
6.43,5.19
7.32,5.43
6.67,5.21
5.54,5.25
5.57,5.26
5.30,5.01
6.69,4.97
7.60,5.30
8.45,5.92
8.68,6.01
8.48,5.90
9.50,6.09
8.55,6.08
7.47,5.61
6.42,5.35
6.54,5.09
4.31,4.76
2.30,4.48
2.57,4.60
2.15,4.67
2.49,4.33
4.02,4.85
5.20,5.31
8.44,6.09
7.39,6.04
5.73,5.29
4.81,4.94
4.41,4.88
6.41,4.85
10.1,5.47
14.3,5.46
12.0,6.89
7.67,5.76
7.63,5.07
8.77,6.12
10.1,5.38
9.49,5.20
9.72,6.23
9.45,5.96
10.2,6.00
11.1,5.63
8.43,5.68
9.61,5.73
10.1,6.33
9.96,5.84
10.2,4.48
9.13,6.08
9.47,6.09
10.5,6.07
11.6,4.05
9.34,6.23
9.67,5.78
11.0,5.72
14.3,6.03
14.2,6.34
11.3,0.333
14.1,7.05
16.6,0.375
15.9,0.375
14.4,6.72
12.6,6.41
13.8,0.500
14.3,0.375
17.3,0.571
15.6,7.96
19.6,0.500
22.3,0.333
16.7,0.375
13.3,6.23
14.0,6.57
17.4,0.444
15.3,6.53
15.3,0.333
14.5,6.27
12.3,5.92
10.3,6.30
10.9,6.44
9.92,6.37
11.8,5.61
11.6,6.44
12.4,6.83
15.0,0.333
15.2,0.375
17.9,0.333
17.8,5.25
15.2,6.47
16.9,0.333
16.7,0.429
18.3,0.444
19.8,0.333
17.5,0.429
14.3,0.333
14.5,0.625
16.8,0.500
16.6,0.375
18.8,0.429
21.0,0.0488
15.1,NaN
14.4,NaN
17.1,0.125
17.4,0.714
21.5,0.400
22.8,0.0882
22.9,0.190
23.3,0.750
19.5,0.833
19.5,0.375
21.3,0.500
22.7,0.250
17.1,1
19.2,0.400
21.2,0.800
18.2,0.250
17.2,0.889
16.0,1.14
16.1,0.750
16.3,0.667
16.5,1.29
15.5,0.667
16.8,0.778
19.0,0.750
20.8,0.667
16.2,0.444
16.0,0.625
15.8,NaN
16.8,1
20.4,NaN
24.4,NaN
27.3,NaN
21.0,NaN
17.4,NaN
16.5,NaN
20.8,NaN
23.3,NaN
17.1,NaN
15.6,NaN
15.1,NaN
18.4,NaN
20.0,NaN
19.5,NaN
17.9,NaN
18.9,NaN
25.3,0.0476
25.0,0.0488
16.5,NaN
16.2,0.500
16.6,NaN
17.5,NaN
18.7,NaN
20.2,NaN
21.8,0.0833
22.8,0.0588
23.1,0.0877
23.9,0.0909
23.2,0.500
22.9,NaN
22.4,NaN
20.8,NaN
19.3,NaN
19.4,NaN
18.6,NaN
20.7,NaN
23.6,NaN
25.5,NaN
17.9,NaN

