Koordinatensystem : Lambert konform konisch
Rechtswert        : 3892500 Meter
Hochwert          : 2377500 Meter
Hoehenlage        : 746 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3892500 2377500  1  1  1   4.0  916 194  4.4 7  4.9  88    0    0 292 -319  0
3892500 2377500  1  1  2   2.4  916 190  3.9 7  4.6  93    0    0 269 -317  0
3892500 2377500  1  1  3   1.2  916 194  3.3 7  4.4  96    0    0 280 -316  0
3892500 2377500  1  1  4   1.0  917 206  3.4 7  4.3  96    0    0 307 -316  0
3892500 2377500  1  1  5   0.9  917 222  3.3 7  4.3  95    0    0 290 -317  0
3892500 2377500  1  1  6   0.8  918 237  3.6 8  4.3  95    0    0 288 -317  0
3892500 2377500  1  1  7   0.6  918 251  2.7 7  4.2  95    0    0 296 -317  0
3892500 2377500  1  1  8   0.8  918 197  2.5 7  4.1  94    0    0 285 -316  0
3892500 2377500  1  1  9   0.7  918 198  2.2 7  4.1  93    2   13 285 -314  0
3892500 2377500  1  1 10   0.4  919 202  3.1 5  4.1  93   38   77 268 -313  0
3892500 2377500  1  1 11   1.0  919 225  2.6 5  4.1  93   25  119 250 -312  0
3892500 2377500  1  1 12   1.4  920 220  2.9 4  4.2  91   29  149 242 -313  0
3892500 2377500  1  1 13   1.7  920 242  3.5 7  4.0  86   12  140 264 -316  0
3892500 2377500  1  1 14   1.3  919 206  3.8 6  3.8  82   42  150 282 -318  0
3892500 2377500  1  1 15   2.0  919 181  2.9 4  3.8  82   64  111 261 -319  0
3892500 2377500  1  1 16   1.6  919 212  3.3 6  3.8  80   37   65 260 -317  0
3892500 2377500  1  1 17   0.6  919 208  2.4 6  3.9  85    2   12 272 -314  0
3892500 2377500  1  1 18   0.3  918 116  3.6 5  3.9  90    0    0 262 -311  0
3892500 2377500  1  1 19   0.7  919 216  3.4 7  3.9  90    0    0 269 -306  0
3892500 2377500  1  1 20   0.6  919 209  2.4 7  3.9  89    0    0 285 -300  0
3892500 2377500  1  1 21   0.5  920 161  2.6 7  3.9  91    0    0 286 -296  0
3892500 2377500  1  1 22   0.3  920 192  2.4 8  4.0  92    0    0 293 -297  0
3892500 2377500  1  1 23   0.2  921 230  1.8 8  4.0  93    0    0 300 -299  0
3892500 2377500  1  1 24   0.2  921 215  1.6 8  4.0  93    0    0 299 -299  0
3892500 2377500  1  2  1   0.3  922 189  1.3 8  4.0  94    0    0 299 -299  0
3892500 2377500  1  2  2  -0.1  922 226  0.7 8  4.0  94    0    0 297 -299  0
3892500 2377500  1  2  3  -0.1  923 322  1.4 8  3.9  95    0    0 297 -295  0
3892500 2377500  1  2  4  -0.4  923  48  1.3 8  3.9  96    0    0 296 -291  0
3892500 2377500  1  2  5  -0.6  924  60  1.0 8  3.9  97    0    0 295 -288  0
3892500 2377500  1  2  6  -0.2  924  40  1.8 6  3.9  96    0    0 277 -288  0
3892500 2377500  1  2  7   0.0  925  24  2.2 7  4.0  96    0    0 269 -292  0
3892500 2377500  1  2  8   0.0  926  51  2.3 7  4.0  96    0    0 277 -297  0
3892500 2377500  1  2  9   0.1  926  51  1.8 7  4.0  97    0    8 277 -301  0
3892500 2377500  1  2 10   0.1  927  64  3.0 6  4.0  96    8   76 269 -302  0
3892500 2377500  1  2 11   0.1  928  54  2.7 5  3.9  94   25  129 253 -302  0
3892500 2377500  1  2 12   0.5  928  57  2.0 7  3.8  90    5  126 264 -305  0
3892500 2377500  1  2 13   0.5  929  14  1.7 7  3.7  87   17  158 280 -310  0
3892500 2377500  1  2 14   0.6  929  42  1.8 6  3.6  84    8  131 273 -313  0
3892500 2377500  1  2 15   0.4  930 356  2.1 7  3.5  82    0   64 272 -313  0
3892500 2377500  1  2 16   0.2  930  20  2.2 7  3.5  82    0   16 277 -312  0
3892500 2377500  1  2 17   0.0  931   2  1.5 8  3.4  82    0    1 283 -309  0
3892500 2377500  1  2 18  -0.3  932   1  2.0 7  3.5  85    0    0 282 -307  0
3892500 2377500  1  2 19  -0.8  933 359  2.0 8  3.6  90    0    0 282 -306  0
3892500 2377500  1  2 20  -0.7  933 359  1.3 8  3.6  91    0    0 287 -307  0
3892500 2377500  1  2 21  -0.8  934  16  1.5 8  3.5  90    0    0 287 -308  0
3892500 2377500  1  2 22  -0.9  933   7  1.2 7  3.5  91    0    0 280 -309  0
3892500 2377500  1  2 23  -1.0  934 344  0.6 8  3.5  92    0    0 280 -309  0
3892500 2377500  1  2 24  -1.0  934 341  1.0 8  3.5  92    0    0 286 -308  0
3892500 2377500  1  3  1  -1.0  935 322  0.9 6  3.5  92    0    0 273 -308  0
3892500 2377500  1  3  2  -1.2  935 339  1.2 7  3.5  93    0    0 265 -309  0
3892500 2377500  1  3  3  -1.2  935 351  0.6 7  3.5  94    0    0 271 -307  0
3892500 2377500  1  3  4  -1.1  936  11  1.1 8  3.5  93    0    0 277 -305  0
3892500 2377500  1  3  5  -1.2  936  18  1.5 8  3.5  94    0    0 282 -305  0
3892500 2377500  1  3  6  -1.2  936  33  1.4 8  3.5  94    0    0 282 -304  0
3892500 2377500  1  3  7  -1.2  936   6  0.7 7  3.5  94    0    0 276 -303  0
3892500 2377500  1  3  8  -1.2  937  20  0.9 8  3.5  94    0    0 276 -304  0
3892500 2377500  1  3  9  -1.1  937   8  0.6 7  3.5  94    0    5 275 -305  0
3892500 2377500  1  3 10  -0.9  938 360  1.0 5  3.6  94   12   77 257 -305  0
3892500 2377500  1  3 11  -0.3  938  37  0.6 5  3.6  91    5  101 245 -305  0
3892500 2377500  1  3 12   0.1  939 333  1.3 5  3.5  87   32  157 246 -307  0
3892500 2377500  1  3 13   0.8  938 347  0.8 4  3.5  84   44  172 241 -309  0
3892500 2377500  1  3 14   0.3  938  34  1.0 6  3.6  84    4  114 248 -310  0
3892500 2377500  1  3 15   0.1  938  61  1.0 7  3.6  87    3   75 265 -310  0
3892500 2377500  1  3 16  -0.3  938  45  0.7 8  3.6  89    1   39 276 -308  0
3892500 2377500  1  3 17  -0.4  939  46  0.3 7  3.6  90    0    3 276 -306  0
3892500 2377500  1  3 18  -0.6  939  71  0.9 8  3.6  90    0    0 275 -303  0
3892500 2377500  1  3 19  -0.7  939  67  1.1 8  3.5  91    0    0 280 -301  0
3892500 2377500  1  3 20  -0.8  940  73  1.0 7  3.5  91    0    0 273 -300  0
3892500 2377500  1  3 21  -1.0  940  61  1.3 8  3.5  92    0    0 272 -300  0
3892500 2377500  1  3 22  -1.1  940  81  1.9 8  3.5  93    0    0 277 -301  0
3892500 2377500  1  3 23  -1.4  939  83  1.8 8  3.5  93    0    0 277 -301  0
3892500 2377500  1  3 24  -1.5  939  74  1.8 8  3.4  93    0    0 276 -301  0
3892500 2377500  1  4  1  -2.6  939  80  1.0 8  3.4  95    0    0 275 -301  0
3892500 2377500  1  4  2  -2.7  938  73  1.7 7  3.3  97    0    0 269 -301  0
3892500 2377500  1  4  3  -2.8  938  75  1.7 7  3.2  96    0    0 263 -301  0
3892500 2377500  1  4  4  -2.9  938  80  2.7 6  3.2  96    0    0 257 -301  0
3892500 2377500  1  4  5  -2.3  937  71  2.0 6  3.3  96    0    0 252 -301  0
3892500 2377500  1  4  6  -2.0  938  65  1.8 7  3.3  95    0    0 257 -301  0
3892500 2377500  1  4  7  -2.2  938  69  2.0 5  3.3  94    0    0 253 -302  0
3892500 2377500  1  4  8  -2.4  938  78  2.0 5  3.2  93    0    0 242 -302  0
3892500 2377500  1  4  9  -2.5  938  80  2.5 5  3.2  92    0    5 241 -302  0
3892500 2377500  1  4 10  -2.1  938  76  2.8 4  3.1  90   64   72 235 -303  0
3892500 2377500  1  4 11  -1.9  938  77  4.0 6  3.0  84   44  124 241 -305  0
3892500 2377500  1  4 12  -1.0  938  81  4.3 6  2.8  76   88  157 253 -307  0
3892500 2377500  1  4 13  -0.6  937  79  4.2 1  2.7  70  178  144 229 -309  0
3892500 2377500  1  4 14  -1.2  936  81  4.2 1  2.7  71  108  148 201 -310  0
3892500 2377500  1  4 15  -1.9  935  82  4.4 6  2.9  79    0   68 228 -310  0
3892500 2377500  1  4 16  -2.1  935  82  4.2 7  3.0  85    0   17 260 -310  0
3892500 2377500  1  4 17  -2.2  934  74  3.7 8  3.0  86    0    2 272 -309  0
3892500 2377500  1  4 18  -2.4  934  77  4.1 8  3.0  86    0    0 277 -307  0
3892500 2377500  1  4 19  -2.4  934  72  3.8 8  3.0  86    0    0 276 -306  0
3892500 2377500  1  4 20  -2.6  934  75  4.1 8  2.9  85    0    0 276 -305  0
3892500 2377500  1  4 21  -2.6  933  61  3.9 8  2.9  84    0    0 276 -304  0
3892500 2377500  1  4 22  -2.7  933  74  5.1 8  2.9  85    0    0 276 -304  0
3892500 2377500  1  4 23  -2.8  932  66  4.3 8  2.9  86    0    0 275 -304  0
3892500 2377500  1  4 24  -3.0  932  72  5.2 8  3.0  89    0    0 275 -304  0
3892500 2377500  1  5  1  -3.0  931  74  4.6 8  3.0  91    0    0 273 -304  0
3892500 2377500  1  5  2  -3.2  930  81  5.0 8  3.0  91    0    0 272 -304  0
3892500 2377500  1  5  3  -3.2  930  79  5.1 8  3.0  92    0    0 271 -304  0
3892500 2377500  1  5  4  -3.2  929  79  4.7 6  3.0  92    0    0 257 -303  0
3892500 2377500  1  5  5  -3.2  929  88  4.7 6  3.0  92    0    0 241 -303  0
3892500 2377500  1  5  6  -3.3  928  78  4.1 8  3.0  92    0    0 257 -303  0
3892500 2377500  1  5  7  -3.5  928  80  4.0 7  3.0  93    0    0 265 -303  0
3892500 2377500  1  5  8  -3.4  928  80  3.9 8  3.0  92    0    0 265 -302  0
3892500 2377500  1  5  9  -3.6  928  78  3.6 8  2.9  92    0    2 271 -302  0
3892500 2377500  1  5 10  -3.4  928  71  3.7 7  2.9  92   12   64 264 -303  0
3892500 2377500  1  5 11  -3.5  928  56  3.4 7  2.9  92    3   85 258 -305  0
3892500 2377500  1  5 12  -3.2  928  82  2.9 8  3.0  92    0   95 265 -307  0
3892500 2377500  1  5 13  -3.1  927  77  3.0 6  3.0  90    1  106 259 -309  0
3892500 2377500  1  5 14  -2.6  926  93  2.4 6  2.9  87    8  111 246 -310  0
3892500 2377500  1  5 15  -2.8  926  89  2.3 5  2.9  85   67   73 239 -311  0
3892500 2377500  1  5 16  -2.7  926  78  2.2 5  2.8  84   57   39 230 -309  0
