Koordinatensystem : Lambert konform konisch
Rechtswert        : 4197500 Meter
Hochwert          : 2677500 Meter
Hoehenlage        : 312 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4197500 2677500  1  1  1  -1.3  956 289  3.1 8  3.5  96    0    0 291 -319  0
4197500 2677500  1  1  2  -1.4  956 288  2.4 8  3.5  96    0    0 291 -319  0
4197500 2677500  1  1  3  -1.6  956 297  2.5 8  3.5  97    0    0 290 -318  0
4197500 2677500  1  1  4  -1.8  956 317  2.3 7  3.4  97    0    0 283 -317  0
4197500 2677500  1  1  5  -2.4  955 342  2.8 8  3.3  97    0    0 283 -317  0
4197500 2677500  1  1  6  -2.7  956   0  2.6 8  3.2  97    0    0 290 -317  0
4197500 2677500  1  1  7  -2.6  956 339  2.4 8  3.2  96    0    0 290 -317  0
4197500 2677500  1  1  8  -2.8  956 349  2.9 8  3.1  95    0    0 290 -316  0
4197500 2677500  1  1  9  -3.1  956   9  2.3 8  3.1  96    0    7 289 -315  0
4197500 2677500  1  1 10  -3.2  957  12  2.5 8  3.0  95    3   49 289 -314  0
4197500 2677500  1  1 11  -3.2  957 351  2.2 7  3.0  94    1   64 281 -313  0
4197500 2677500  1  1 12  -3.3  957 360  2.3 7  3.0  95    1   89 273 -313  0
4197500 2677500  1  1 13  -3.3  958 360  2.4 8  3.0  96    3  100 281 -313  0
4197500 2677500  1  1 14  -3.3  958  10  2.9 8  3.0  95    0   35 289 -312  0
4197500 2677500  1  1 15  -3.3  958 351  3.2 8  3.0  95    0   43 289 -311  0
4197500 2677500  1  1 16  -3.4  959  29  2.7 6  3.0  95    2   32 273 -309  0
4197500 2677500  1  1 17  -3.4  959  10  3.0 8  3.0  95    0    0 273 -308  0
4197500 2677500  1  1 18  -3.3  960  20  2.5 7  2.9  94    0    0 280 -307  0
4197500 2677500  1  1 19  -3.3  961  11  2.6 6  2.9  94    0    0 265 -305  0
4197500 2677500  1  1 20  -3.2  961   1  2.3 8  2.9  93    0    0 272 -304  0
