Koordinatensystem : Lambert konform konisch
Rechtswert        : 3999500 Meter
Hochwert          : 2964500 Meter
Hoehenlage        : 8 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3999500 2964500  1  1  1   4.0  986 244  3.5 7  4.6  88    0    0 278 -317  3
3999500 2964500  1  1  2   3.2  986 247  2.7 7  4.4  89    0    0 285 -317  3
3999500 2964500  1  1  3   2.5  986 249  2.4 7  4.2  90    0    0 289 -318  3
3999500 2964500  1  1  4   2.3  986 248  2.5 6  4.1  89    0    0 281 -318  3
3999500 2964500  1  1  5   1.9  987 248  2.9 6  4.0  89    0    0 266 -318  3
3999500 2964500  1  1  6   2.0  987 244  2.9 4  4.0  88    0    0 253 -319  3
3999500 2964500  1  1  7   1.0  987 257  4.0 5  3.9  90    0    0 254 -318  3
3999500 2964500  1  1  8   1.2  987 269  4.6 6  3.9  93    0    0 263 -316  3
3999500 2964500  1  1  9   1.2  988 274  6.3 6  3.9  91    0    0 268 -315  3
3999500 2964500  1  1 10   1.4  988 265  5.8 4  3.5  82   16   30 258 -314  3
3999500 2964500  1  1 11   2.1  988 255  5.1 3  3.2  72   35   61 244 -312  3
3999500 2964500  1  1 12   1.3  989 245  7.2 8  3.1  71    0   27 260 -310  3
3999500 2964500  1  1 13   0.5  989 262  6.4 5  3.3  80   46   90 267 -311  3
3999500 2964500  1  1 14   1.6  989 249  7.0 6  3.3  80   16   81 260 -311  3
3999500 2964500  1  1 15   1.4  989 264  7.8 8  3.3  76    0   43 273 -310  3
3999500 2964500  1  1 16   1.7  990 243  6.5 5  3.3  76   12   26 268 -310  3
3999500 2964500  1  1 17   0.2  989 242  7.3 4  3.3  79    0    0 250 -310  3
3999500 2964500  1  1 18  -0.2  990 251  6.4 5  3.4  88    0    0 249 -311  3
3999500 2964500  1  1 19  -0.3  990 239  5.5 7  3.4  89    0    0 262 -312  3
3999500 2964500  1  1 20  -0.5  990 231  4.8 5  3.3  87    0    0 263 -312  3
3999500 2964500  1  1 21  -0.6  989 231  4.9 5  3.2  87    0    0 255 -313  3
3999500 2964500  1  1 22  -0.4  989 235  4.2 6  3.3  87    0    0 261 -312  3
3999500 2964500  1  1 23  -0.1  989 250  4.1 6  3.4  88    0    0 267 -313  3
3999500 2964500  1  1 24   0.2  989 252  3.7 6  3.4  88    0    0 271 -313  3
3999500 2964500  1  2  1   0.1  990 249  3.5 6  3.5  89    0    0 273 -313  3
3999500 2964500  1  2  2   0.3  990 313  4.0 6  3.6  90    0    0 275 -312  3
3999500 2964500  1  2  3   0.4  990 274  3.7 6  3.6  91    0    0 278 -311  3
3999500 2964500  1  2  4   0.6  991 269  3.1 7  3.7  92    0    0 285 -311  3
3999500 2964500  1  2  5   0.7  992 261  3.9 3  3.7  91    0    0 273 -311  3
3999500 2964500  1  2  6   0.4  992 290  4.0 4  3.7  91    0    0 259 -311  3
3999500 2964500  1  2  7   0.2  993 299  4.0 3  3.5  89    0    0 257 -311  3
3999500 2964500  1  2  8  -0.7  994 309  5.1 3  3.2  85    0    0 248 -311  3
3999500 2964500  1  2  9  -1.4  995 301  3.9 3  2.9  82    0    0 243 -311  3
3999500 2964500  1  2 10  -1.0  998 311  4.3 4  2.9  82    5   29 244 -311  3
3999500 2964500  1  2 11  -0.3  999 320  4.9 6  3.0  81    1   52 258 -312  3
3999500 2964500  1  2 12  -0.1 1001 311  5.2 4  3.0  78   40   78 259 -312  3
3999500 2964500  1  2 13   0.1 1002 318  4.8 2  3.0  77   44   86 239 -313  3
3999500 2964500  1  2 14   0.1 1004 319  4.4 3  3.0  78   25   81 234 -313  3
3999500 2964500  1  2 15   0.4 1005 319  4.2 5  3.1  80    1   51 254 -312  3
3999500 2964500  1  2 16   0.3 1007 329  3.7 7  3.1  80    0   14 278 -312  3
3999500 2964500  1  2 17   0.3 1008 327  4.0 7  3.1  78    0    0 289 -311  3
3999500 2964500  1  2 18   0.5 1010 318  4.3 6  3.0  77    0    0 283 -310  3
3999500 2964500  1  2 19   0.5 1011 325  4.1 7  3.1  78    0    0 284 -309  3
3999500 2964500  1  2 20   0.4 1013 324  4.2 7  3.1  79    0    0 289 -309  3
3999500 2964500  1  2 21   0.5 1015 326  3.7 6  3.1  80    0    0 283 -309  3
3999500 2964500  1  2 22   0.4 1016 318  3.9 6  3.2  82    0    0 278 -309  3
3999500 2964500  1  2 23   0.3 1018 329  2.9 6  3.3  85    0    0 278 -309  3
3999500 2964500  1  2 24   0.1 1019 326  2.4 7  3.4  88    0    0 284 -309  3
3999500 2964500  1  3  1  -0.4 1020 310  3.3 7  3.4  91    0    0 289 -309  3
3999500 2964500  1  3  2  -0.3 1021 319  3.8 7  3.3  91    0    0 289 -309  3
3999500 2964500  1  3  3  -0.2 1022 320  3.3 7  3.3  89    0    0 289 -309  3
3999500 2964500  1  3  4   0.0 1023 321  3.7 7  3.2  86    0    0 289 -309  3
3999500 2964500  1  3  5   0.0 1024 328  3.3 7  3.2  84    0    0 288 -307  3
3999500 2964500  1  3  6  -0.1 1024 327  2.6 6  3.1  84    0    0 281 -303  3
3999500 2964500  1  3  7  -0.8 1025 327  2.4 3  3.1  84    0    0 256 -301  3
3999500 2964500  1  3  8  -1.9 1026 327  1.8 2  2.9  86    0    0 231 -299  3
3999500 2964500  1  3  9  -3.0 1027 327  1.9 2  2.7  88    0    0 220 -298  3
3999500 2964500  1  3 10  -3.1 1029 328  1.3 0  2.7  90   29   28 208 -296  3
3999500 2964500  1  3 11  -1.8 1030 324  2.0 0  2.7  88  117   31 198 -297  3
3999500 2964500  1  3 12  -0.4 1031 356  2.1 0  2.6  77  161   34 200 -299  3
3999500 2964500  1  3 13   0.0 1031 358  1.7 0  2.5  68  137   59 201 -302  3
3999500 2964500  1  3 14   0.4 1031 338  1.6 0  2.4  63  130   50 201 -304  3
3999500 2964500  1  3 15   0.4 1031 351  1.2 0  2.4  62   81   44 202 -304  3
3999500 2964500  1  3 16  -0.5 1032 315  1.5 0  2.4  65   13   26 202 -301  3
3999500 2964500  1  3 17  -2.2 1032 360  1.7 1  2.4  71    0    0 203 -297  3
3999500 2964500  1  3 18  -4.2 1032 325  1.4 1  2.3  78    0    0 203 -294  3
