Koordinatensystem : Lambert konform konisch
Rechtswert        : 3999500 Meter
Hochwert          : 2964500 Meter
Hoehenlage        : 8 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3999500 2964500  1  1  1   1.0 1027 281  3.6 5  3.9  94    0    0 262 -308  2
3999500 2964500  1  1  2  -0.5 1027 296  2.8 5  3.5  97    0    0 249 -307  2
3999500 2964500  1  1  3  -1.5 1026 309  2.2 5  3.3  99    0    0 245 -305  2
3999500 2964500  1  1  4  -1.0 1027 310  2.2 6  3.4 100    0    0 261 -304  2
3999500 2964500  1  1  5  -0.7 1027 315  2.1 6  3.5  99    0    0 269 -302  2
3999500 2964500  1  1  6  -0.2 1026 318  2.2 7  3.6  99    0    0 273 -302  2
3999500 2964500  1  1  7  -0.3 1026 330  1.8 7  3.6  99    0    0 279 -302  2
3999500 2964500  1  1  8   0.0 1026 318  1.8 8  3.6  97    0    0 284 -302  2
3999500 2964500  1  1  9  -0.2 1026 316  1.9 8  3.5  94    0    0 288 -303  2
3999500 2964500  1  1 10   0.0 1026 320  1.9 7  3.5  94    0   19 283 -304  2
3999500 2964500  1  1 11   0.2 1027 321  2.1 7  3.5  94    0   33 277 -307  2
3999500 2964500  1  1 12   0.4 1027 317  2.2 7  3.6  93    0   41 278 -311  2
3999500 2964500  1  1 13   0.6 1026 321  1.9 8  3.6  92    0   51 283 -313  2
3999500 2964500  1  1 14   1.0 1026 320  1.6 6  3.7  92    2   68 281 -315  2
3999500 2964500  1  1 15   1.0 1026 291  2.0 5  3.7  92    3   50 270 -315  2
3999500 2964500  1  1 16   0.9 1026 326  1.7 7  3.7  92    0    8 274 -315  2
3999500 2964500  1  1 17   0.8 1026 322  1.8 7  3.7  93    0    0 280 -314  2
3999500 2964500  1  1 18   0.9 1026 333  1.8 7  3.7  92    0    0 278 -312  2
3999500 2964500  1  1 19   0.9 1026 344  1.7 8  3.6  91    0    0 281 -311  2
3999500 2964500  1  1 20   1.1 1026   8  2.3 8  3.6  90    0    0 284 -310  2
3999500 2964500  1  1 21   0.9 1026 343  2.2 5  3.6  89    0    0 275 -310  2
3999500 2964500  1  1 22   0.9 1026 316  2.3 6  3.6  89    0    0 267 -310  2
3999500 2964500  1  1 23   0.9 1026 321  2.3 7  3.6  91    0    0 276 -311  2
