Koordinatensystem : Lambert konform konisch
Rechtswert        : 3999500 Meter
Hochwert          : 2964500 Meter
Hoehenlage        : 8 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3999500 2964500  1  1  1  -3.8 1024 226  2.4 5  2.4  85    0    0 303 -312  1
3999500 2964500  1  1  2  -2.8 1024 256  2.5 7  2.7  87    0    0 304 -312  1
3999500 2964500  1  1  3  -2.1 1024 278  2.5 8  2.9  89    0    0 306 -313  1
3999500 2964500  1  1  4  -2.1 1024 269  2.8 8  2.9  90    0    0 306 -314  1
3999500 2964500  1  1  5  -2.0 1024 267  3.0 8  2.9  90    0    0 306 -314  1
3999500 2964500  1  1  6  -1.9 1024 271  3.6 8  2.9  90    0    0 305 -314  1
3999500 2964500  1  1  7  -1.8 1024 249  2.9 6  3.0  91    0    0 293 -314  1
3999500 2964500  1  1  8  -1.5 1024 261  2.5 6  3.0  92    0    0 280 -314  1
3999500 2964500  1  1  9  -1.7 1025 279  2.6 5  3.1  92    0    3 275 -314  1
3999500 2964500  1  1 10  -1.8 1025 253  2.0 5  3.0  92   23   25 267 -315  1
3999500 2964500  1  1 11   0.1 1025 286  1.7 1  3.2  92   40   75 245 -315  1
3999500 2964500  1  1 12   1.3 1026 278  1.0 2  3.4  87   36  105 231 -315  1
3999500 2964500  1  1 13   2.2 1026 268  1.0 2  3.5  84   69  103 240 -316  1
3999500 2964500  1  1 14   2.1 1026 311  0.7 3  3.7  84   17  101 246 -317  1
3999500 2964500  1  1 15   2.0 1026   7  0.6 5  3.7  86    3   56 263 -318  1
3999500 2964500  1  1 16   0.4 1026  96  1.2 7  3.6  89    0   10 283 -316  1
3999500 2964500  1  1 17  -0.2 1026  99  0.9 7  3.5  93    0    0 289 -315  1
3999500 2964500  1  1 18   0.0 1027 150  1.1 7  3.5  95    0    0 288 -315  1
3999500 2964500  1  1 19   0.2 1027 115  1.1 8  3.6  95    0    0 292 -315  1
3999500 2964500  1  1 20   0.0 1027 143  1.4 7  3.6  95    0    0 290 -315  1
3999500 2964500  1  1 21  -0.1 1027 143  1.2 7  3.5  95    0    0 282 -315  1
3999500 2964500  1  1 22   0.1 1027 152  1.1 7  3.5  95    0    0 281 -314  1
3999500 2964500  1  1 23   0.1 1026 111  1.7 8  3.6  95    0    0 286 -314  1
3999500 2964500  1  1 24   0.0 1026  98  1.4 7  3.6  96    0    0 282 -314  1
3999500 2964500  1  2  1   0.1 1026  72  1.6 7  3.6  96    0    0 274 -313  1
3999500 2964500  1  2  2   0.0 1026  73  1.6 7  3.6  97    0    0 273 -313  1
3999500 2964500  1  2  3  -0.1 1026  61  1.7 7  3.7  99    0    0 271 -312  1
3999500 2964500  1  2  4  -0.2 1026  51  1.5 6  3.7 100    0    0 266 -311  1
3999500 2964500  1  2  5  -0.6 1025  18  2.1 7  3.6 100    0    0 266 -310  1
3999500 2964500  1  2  6  -0.7 1026  28  1.6 7  3.5  98    0    0 271 -306  1
3999500 2964500  1  2  7  -0.7 1025  14  1.3 8  3.4  96    0    0 276 -302  1
3999500 2964500  1  2  8  -1.3 1026 348  1.7 7  3.3  95    0    0 275 -297  1
3999500 2964500  1  2  9  -1.1 1026   5  2.5 5  3.2  95    0    1 258 -294  1
3999500 2964500  1  2 10  -1.4 1027  10  2.7 3  3.2  93   45   16 238 -291  1
3999500 2964500  1  2 11  -0.3 1027  15  1.9 1  2.9  83   76   52 218 -292  1
3999500 2964500  1  2 12   0.1 1028   9  2.4 1  2.8  74  108   61 208 -295  1
3999500 2964500  1  2 13   0.8 1029   7  2.6 0  2.6  69  174   37 205 -298  1
3999500 2964500  1  2 14   1.0 1029   9  2.7 0  2.4  61  156   32 200 -300  1
3999500 2964500  1  2 15   0.7 1029   5  2.5 0  2.3  57   48   53 201 -300  1
3999500 2964500  1  2 16  -1.3 1029 358  1.8 0  2.2  61   12   34 199 -297  1
3999500 2964500  1  2 17  -2.4 1030 333  1.1 0  2.3  70    0    0 197 -292  1
3999500 2964500  1  2 18  -4.2 1030 311  0.9 0  2.3  78    0    0 192 -288  1
3999500 2964500  1  2 19  -4.8 1030 300  1.3 0  2.3  86    0    0 190 -284  1
3999500 2964500  1  2 20  -5.9 1030 305  1.3 0  2.3  90    0    0 186 -281  1
3999500 2964500  1  2 21  -6.5 1030 236  1.3 0  2.2  93    0    0 183 -279  1
3999500 2964500  1  2 22  -7.1 1030 349  1.1 0  2.1  93    0    0 180 -277  1
3999500 2964500  1  2 23  -7.2 1030 263  1.6 0  2.0  94    0    0 178 -277  1
3999500 2964500  1  2 24  -7.7 1030 208  1.6 0  2.0  95    0    0 177 -278  1
3999500 2964500  1  3  1  -7.4 1030 237  1.7 1  2.0  95    0    0 178 -277  1
3999500 2964500  1  3  2  -7.5 1029 222  1.9 1  2.0  95    0    0 181 -277  1
3999500 2964500  1  3  3  -5.0 1029 259  2.0 4  2.2  95    0    0 192 -276  1
3999500 2964500  1  3  4  -3.4 1028 258  2.8 5  2.5  90    0    0 210 -276  1
3999500 2964500  1  3  5  -3.8 1027 250  2.8 4  2.4  84    0    0 210 -276  1
3999500 2964500  1  3  6  -3.7 1027 240  3.3 4  2.4  85    0    0 207 -276  1
3999500 2964500  1  3  7  -3.0 1026 237  3.7 6  2.5  87    0    0 214 -276  1
3999500 2964500  1  3  8  -2.6 1025 226  3.8 6  2.7  87    0    0 223 -276  1
3999500 2964500  1  3  9  -1.8 1025 269  3.9 7  2.7  86    0    2 228 -275  1
3999500 2964500  1  3 10  -1.1 1024 247  4.0 7  2.9  86    0    7 234 -276  1
3999500 2964500  1  3 11  -0.1 1024 253  4.6 7  3.1  85    0   60 237 -279  1
3999500 2964500  1  3 12   0.8 1023 259  4.9 6  3.2  84    0   82 238 -285  1
3999500 2964500  1  3 13   0.8 1022 257  5.3 6  3.3  84    4  105 238 -290  1
3999500 2964500  1  3 14   0.7 1021 261  5.8 7  3.5  88    0   48 243 -293  1
3999500 2964500  1  3 15   1.1 1020 259  6.0 8  3.7  92    0   19 252 -294  1
3999500 2964500  1  3 16   1.4 1019 261  5.8 8  3.8  92    0    5 258 -293  1
3999500 2964500  1  3 17   1.5 1019 267  6.4 8  3.9  93    0    0 262 -292  1
3999500 2964500  1  3 18   1.7 1018 270  6.5 8  4.0  95    0    0 266 -291  1
3999500 2964500  1  3 19   1.9 1017 269  6.7 7  4.1  95    0    0 265 -292  1
3999500 2964500  1  3 20   2.1 1016 262  6.5 7  4.2  95    0    0 266 -293  1
3999500 2964500  1  3 21   2.8 1016 274  5.9 7  4.3  96    0    0 271 -292  1
3999500 2964500  1  3 22   3.7 1015 281  5.4 7  4.6  96    0    0 277 -291  1
3999500 2964500  1  3 23   4.1 1015 289  5.3 7  4.8  95    0    0 283 -292  1
3999500 2964500  1  3 24   3.9 1015 287  4.9 8  4.8  94    0    0 290 -293  1
3999500 2964500  1  4  1   3.7 1015 282  4.2 8  4.7  94    0    0 296 -295  1
3999500 2964500  1  4  2   3.6 1014 285  4.2 7  4.7  95    0    0 295 -297  1
3999500 2964500  1  4  3   3.3 1014 287  4.2 8  4.6  94    0    0 295 -300  1
3999500 2964500  1  4  4   3.0 1014 271  4.0 8  4.4  93    0    0 300 -302  1
3999500 2964500  1  4  5   2.9 1013 258  3.5 8  4.4  93    0    0 300 -303  1
3999500 2964500  1  4  6   2.6 1013 261  3.2 8  4.4  94    0    0 300 -304  1
3999500 2964500  1  4  7   2.5 1013 271  3.8 8  4.3  94    0    0 299 -305  1
3999500 2964500  1  4  8   1.7 1013 269  3.2 8  4.2  94    0    0 297 -306  1
3999500 2964500  1  4  9   1.0 1013 238  3.5 8  4.0  95    0    1 296 -307  1
3999500 2964500  1  4 10   1.3 1012 255  3.8 8  4.0  98    0    5 295 -307  1
3999500 2964500  1  4 11   1.6 1013 226  3.5 7  4.2  99    0   41 292 -309  1
3999500 2964500  1  4 12   1.8 1012 256  3.5 7  4.2  97    0   55 286 -311  1
3999500 2964500  1  4 13   1.5 1012 270  2.9 8  4.1  97    0   46 290 -312  1
3999500 2964500  1  4 14   1.4 1011 265  2.4 7  4.1  96    0   60 288 -313  1
3999500 2964500  1  4 15   1.4 1010 268  1.0 6  4.1  96    5   58 278 -313  1
3999500 2964500  1  4 16   1.1 1010 253  0.3 7  4.0  97    0   19 278 -313  1
3999500 2964500  1  4 17   1.1 1010 347  1.7 8  4.0  98    0    0 287 -313  1
